,firstname,lastname,university,department,grad_school,title,highest_degree,Grad_Yr
0,Alberto,Abadie,HARVARD UNIVERSITY, Harvard Graduate School of Education, Massachusetts Institute of Technology,Member of the Faculty of Education,Ph.D.,1999
1,Emily,Ackman,HARVARD UNIVERSITY, Harvard Graduate School of Education, Arizona State University,Postdoctoral Fellow in Education,Ph.D.,2013
2,Lauren,Adams,HARVARD UNIVERSITY, Harvard Graduate School of Education, Simmons College,Adjunct Lecturer on Education,M.A.,1995
3,Mitsue,Allen-Tamai,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Professor of Practice,NO INFO AVAILABLE,
4,Andres,Alonso,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Visiting Scholar in Education,Ed.D.,2006
5,Arif,Altun,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Visiting Fellow in Education,NO INFO AVAILABLE,
6,Chiwen,Bao,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Adjunct Lecturer on Education,NO INFO AVAILABLE,
7,Dennis,Barr,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Assistant Professor of Education and Economics,Ed.D.,1993
8,Felipe,Barrera-Osorio,HARVARD UNIVERSITY, Harvard Graduate School of Education, University of Maryland,Member of the Faculty of Education,Ph.D.,2003
9,William,Beardslee,HARVARD UNIVERSITY, Harvard Graduate School of Education, Case Western Reserve University,Visiting Scholar in Education,M.D.,1971
10,Janine,Bempechat,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Adjunct Lecturer on Education,Ed.D.,1986
11,Ron,Berger,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Senior Lecturer on Education,Ed.M.,1990
12,Joseph,Blatt,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Adjunct Lecturer on Education,Ed.M.,1977
13,Tina,Blythe,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Adjunct Lecturer on Education,Ed.M.,2002
14,Candice,Bocala,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Adjunct Lecturer on Education,Ed.D.,2014
15,Lisa,Boes,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Senior Lecturer on Education,Ed.D.,2006
16,Katherine,Boles,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Lecturer on Education,Ed.D.,1991
17,Kathryn,Boudett,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Postdoctoral Fellow in Education,Ph.D.,1998
18,Jocelyn,Bowne,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Assistant Professor of Education,NO INFO AVAILABLE,
